
param:  gen:

       	a     	b      	c   	d    	e      	f     	Pmin  	Pmax 	RU      RD:=
   G1  	0.12  	14.80  	89  	1.2  	-5     	3     	28    	200  	40  	40
   G2  	0.17  	16.57  	83  	2.3  	-4.24  	6.09  	20    	290  	30  	30
   G3  	0.15  	15.55  	100 	1.1  	-2.15  	5.69  	30    	190  	30  	30
   G4  	0.19  	16.21  	70  	1.1  	-3.99  	6.2   	20    	260  	50  	50;
   
param: t:
		demand:=
	t1	310
	t2	530
	t3	516
	t4	510
	t5	515
	t6	544
	t7	646
	t8	686
	t9	741
	t10	734
	t11	748
	t12	760
	t13	754
	t14	700
	t15	686
	t16	720
	t17	714
	t18	761
	t19	727
	t20	714
	t21	618
	t22	584
	t23	578
	t24	544;

